source,statistic_or_finding,why_it_matters_for_project
"The Trevor Project 2025 U.S. National Survey","More than 16,000 LGBTQ+ young people ages 13-24 surveyed","Large recent dataset for understanding youth support needs"
"The Trevor Project 2025 U.S. National Survey","36% seriously considered attempting suicide in the past year; 10% attempted suicide","Shows why safety language and crisis-aware design matter"
"The Trevor Project 2025 U.S. National Survey","77% identified online spaces as supportive","Supports the idea that a private online tool can be a meaningful first step"
"The Trevor Project 2025 U.S. National Survey","Very accepting communities were linked with much lower attempt rates than very unaccepting communities","Supports using affirming, non-stigmatizing responses"
"CDC 2023 YRBS Results","LGBTQ+ students are identified as especially impacted in the youth mental health crisis","Official public health support for focusing on LGBTQ+ high school students"
"CDC School Connectedness","School connectedness has long-lasting effects on health and well-being","Supports measuring whether users feel connected to safe next steps"
"GLSEN 2021 National School Climate Survey","Hostile school climate is associated with lower self-esteem, higher depression, lower GPA, and missed school","Shows school safety and acceptance are relevant user concerns"
"Trevor Project 2023 School Protective Factors","At least one school-related protective factor was associated with 26% lower odds of attempting suicide","Supports including safe adult/school support pathways"
"JMIR 2022 systematic review","LGBTQ youth use social media for peer connection, identity exploration, identity management, and support","Supports privacy-first and anonymous design"
"JMIR 2022 systematic review","Online spaces can also involve discrimination, outing, and weak privacy protections","Supports avoiding public comments, accounts, and identity disclosure in MVP"
